department_code,department,municipality_code,municipality
05,ANTIOQUIA,05660,SAN LUIS
05,ANTIOQUIA,05686,SANTA ROSA DE OSOS
05,ANTIOQUIA,05792,TARSO
05,ANTIOQUIA,05040,ANOR
05,ANTIOQUIA,05059,ARMENIA
05,ANTIOQUIA,05467,MONTEBELLO
05,ANTIOQUIA,05044,ANZ
05,ANTIOQUIA,05411,LIBORINA
05,ANTIOQUIA,05138,CAASGORDAS
05,ANTIOQUIA,05887,YARUMAL
05,ANTIOQUIA,05483,NARIO
05,ANTIOQUIA,05360,ITAG
05,ANTIOQUIA,05495,NECH
05,ANTIOQUIA,05790,TARAZ
05,ANTIOQUIA,05576,PUEBLORRICO
05,ANTIOQUIA,05318,GUARNE
05,ANTIOQUIA,05086,BELMIRA
05,ANTIOQUIA,05837,TURBO
05,ANTIOQUIA,05665,SAN PEDRO DE URAB
05,ANTIOQUIA,05036,ANGELPOLIS
05,ANTIOQUIA,05034,ANDES
05,ANTIOQUIA,05093,BETULIA
05,ANTIOQUIA,05368,JERIC
05,ANTIOQUIA,05250,EL BAGRE
05,ANTIOQUIA,05079,BARBOSA
05,ANTIOQUIA,05308,GIRARDOTA
05,ANTIOQUIA,05031,AMALFI
05,ANTIOQUIA,05347,HELICONIA
05,ANTIOQUIA,05819,TOLEDO
05,ANTIOQUIA,05380,LA ESTRELLA
05,ANTIOQUIA,05030,AMAG
05,ANTIOQUIA,05091,BETANIA
05,ANTIOQUIA,05142,CARACOL
05,ANTIOQUIA,05697,SANTUARIO
05,ANTIOQUIA,05789,TMESIS
05,ANTIOQUIA,05313,GRANADA
05,ANTIOQUIA,05150,CAROLINA
05,ANTIOQUIA,05591,PUERTO TRIUNFO
05,ANTIOQUIA,05055,ARGELIA
05,ANTIOQUIA,05664,SAN PEDRO
05,ANTIOQUIA,05038,ANGOSTURA
05,ANTIOQUIA,05172,CHIGOROD
05,ANTIOQUIA,05361,ITUANGO
05,ANTIOQUIA,05197,COCORN
05,ANTIOQUIA,05674,SAN VICENTE
05,ANTIOQUIA,05501,OLAYA
05,ANTIOQUIA,05190,CISNEROS
05,ANTIOQUIA,05237,DON MATAS
05,ANTIOQUIA,05885,YAL
05,ANTIOQUIA,05321,GUATAP
05,ANTIOQUIA,05051,ARBOLETES
05,ANTIOQUIA,05842,URAMITA
05,ANTIOQUIA,05475,MURIND
05,ANTIOQUIA,05234,DABEIBA
05,ANTIOQUIA,05615,RIONEGRO
05,ANTIOQUIA,05364,JARDN
05,ANTIOQUIA,05306,GIRALDO
05,ANTIOQUIA,05631,SABANETA
05,ANTIOQUIA,05425,MACEO
05,ANTIOQUIA,05264,ENTRERRIOS
05,ANTIOQUIA,05667,SAN RAFAEL
05,ANTIOQUIA,05154,CAUCASIA
05,ANTIOQUIA,05490,NECOCL
05,ANTIOQUIA,05004,ABRIAQU
05,ANTIOQUIA,05282,FREDONIA
05,ANTIOQUIA,05353,HISPANIA
05,ANTIOQUIA,05604,REMEDIOS
05,ANTIOQUIA,05658,SAN JOS DE LA MONTAA
05,ANTIOQUIA,05400,LA UNION
05,ANTIOQUIA,05893,YOND (Casabe)
05,ANTIOQUIA,05679,SANTA BRBARA
05,ANTIOQUIA,05585,PUERTO NARE
05,ANTIOQUIA,05690,SANTO DOMINGO
08,ATLANTICO,08573,PUERTO COLOMBIA
08,ATLANTICO,08558,POLONUEVO
08,ATLANTICO,08638,SABANALARGA
08,ATLANTICO,08372,JUAN DE ACOSTA
08,ATLANTICO,08078,BARANOA
08,ATLANTICO,08832,TUBAR
08,ATLANTICO,08634,SABANAGRANDE
08,ATLANTICO,08758,SOLEDAD
08,ATLANTICO,08560,PONEDERA
08,ATLANTICO,08549,PIOJ
08,ATLANTICO,08141,CANDELARIA
08,ATLANTICO,08433,MALAMBO
08,ATLANTICO,08001,BARRANQUILLA (Distrito Especial Industrial y Portuario)
08,ATLANTICO,08770,SUAN
08,ATLANTICO,08436,MANAT
08,ATLANTICO,08675,SANTA LUCA
08,ATLANTICO,08421,LURUACO
08,ATLANTICO,08137,CAMPO DE LA CRUZ
08,ATLANTICO,08296,GALAPA
08,ATLANTICO,08685,SANTO TOMS
08,ATLANTICO,08849,USIACUR
08,ATLANTICO,08520,PALMAR DE VARELA
08,ATLANTICO,08606,REPELN
11,SATA FE DE BOGOT D.C.,11001,BOGOT D.C.
13,BOLVAR,13654,SAN JACINTO
13,BOLVAR,13442,MARIA LA BAJA
13,BOLVAR,13600,RIOVIEJO
13,BOLVAR,13473,MORALES
13,BOLVAR,13458,MONTECRISTO
13,BOLVAR,13268,EL PEN
13,BOLVAR,13300,HATILLO DE LOBA
13,BOLVAR,13248,EL GUAMO
13,BOLVAR,13042,ARENAL
13,BOLVAR,13062,ARROYOHONDO
13,BOLVAR,13673,SANTA CATALINA
13,BOLVAR,13030,ALTOS DEL ROSARIO
13,BOLVAR,13873,VILLANUEVA
13,BOLVAR,13430,MAGANGU
13,BOLVAR,13440,MARGARITA
13,BOLVAR,13188,CICUCO
13,BOLVAR,13549,PINILLOS
13,BOLVAR,13894,ZAMBRANO
13,BOLVAR,13647,SAN ESTANISLAO
13,BOLVAR,13490,NOROSI
13,BOLVAR,13836,TURBACO
13,BOLVAR,13655,SAN JACINTO DEL CAUCA
13,BOLVAR,13074,BARRANCO DE LOBA
13,BOLVAR,13744,SIMIT
13,BOLVAR,13670,SAN PABLO
13,BOLVAR,13001,CARTAGENA DE INDIAS (Distrito Turstico y Cultural)
13,BOLVAR,13683,SANTA ROSA
13,BOLVAR,13580,REGIDOR
13,BOLVAR,13222,CLEMENCIA
13,BOLVAR,13212,CRDOBA
13,BOLVAR,13667,SAN MARTN DE LOBA
13,BOLVAR,13838,TURBANA
13,BOLVAR,13140,CALAMAR
13,BOLVAR,13780,TALAIGUA NUEVO
13,BOLVAR,13052,ARJONA
13,BOLVAR,13688,SANTA ROSA DEL SUR
13,BOLVAR,13006,ACH
13,BOLVAR,13760,SOPLAVIENTO
13,BOLVAR,13650,SAN FERNANDO
13,BOLVAR,13620,SAN CRISTBAL
13,BOLVAR,13160,CANTAGALLO
13,BOLVAR,13244,EL CARMEN DE BOLVAR
13,BOLVAR,13468,MOMPS
13,BOLVAR,13657,SAN JUAN NEPOMUCENO
13,BOLVAR,13433,MAHATES
13,BOLVAR,13810,TIQUISIO (Puerto Rico)
15,BOYAC,15806,TIBASOSA
15,BOYAC,15187,CHIVAT
15,BOYAC,15455,MIRAFLORES
15,BOYAC,15753,SOAT
15,BOYAC,15621,RONDN
15,BOYAC,15759,SOGAMOSO
15,BOYAC,15223,CUBAR
15,BOYAC,15380,LA CAPILLA
15,BOYAC,15362,IZA
15,BOYAC,15176,CHIQUINQUIR
15,BOYAC,15114,BUSBANZ
15,BOYAC,15632,SABOY
15,BOYAC,15778,SUTATENZA
15,BOYAC,15720,SATIVANORTE
15,BOYAC,15407,VILLA DE LEIVA
15,BOYAC,15189,CINEGA
15,BOYAC,15638,SCHICA
15,BOYAC,15244,EL COCUY
15,BOYAC,15599,RAMIRIQU
15,BOYAC,15839,TUTAZ
15,BOYAC,15104,BOYAC
15,BOYAC,15676,SAN MIGUEL DE SEMA
15,BOYAC,15774,SUSACN
15,BOYAC,15232,CHQUIZA
15,BOYAC,15897,ZETAQUIRA
15,BOYAC,15693,SANTA ROSA DE VITERBO
15,BOYAC,15226,CUTIVA
15,BOYAC,15367,JENESANO
15,BOYAC,15804,TIBAN
15,BOYAC,15464,MONGUA
15,BOYAC,15522,PANQUEBA
15,BOYAC,15646,SAMAC
15,BOYAC,15790,TASCO
15,BOYAC,15183,CHITA
15,BOYAC,15248,EL ESPINO
15,BOYAC,15879,VIRACACH
15,BOYAC,15466,MONGU
15,BOYAC,15296,GMEZA
15,BOYAC,15480,MUZO
15,BOYAC,15224,CUCAITA
15,BOYAC,15172,CHINAVITA
15,BOYAC,15236,CHIVOR
15,BOYAC,15135,CAMPOHERMOSO
15,BOYAC,15763,SOTAQUIR
15,BOYAC,15491,NOBSA
15,BOYAC,15090,BERBEO
15,BOYAC,15673,SAN MATEO
15,BOYAC,15861,VENTAQUEMADA
15,BOYAC,15325,GUAYAT
15,BOYAC,15690,SANTA MARA
15,BOYAC,15500,OICAT
15,BOYAC,15740,SIACHOQUE
15,BOYAC,15022,ALMEIDA
15,BOYAC,15332,GICN
15,BOYAC,15047,AQUITANIA
15,BOYAC,15185,CHITARAQUE
15,BOYAC,15660,SAN EDUARDO
15,BOYAC,15442,MARIP
15,BOYAC,15572,PUERTO BOYAC
15,BOYAC,15808,TINJAC
15,BOYAC,15537,PAZ DE RIO
15,BOYAC,15681,SAN PABLO DE BORBUR
15,BOYAC,15757,SOCHA
15,BOYAC,15531,PAUNA
15,BOYAC,15276,FLORESTA
15,BOYAC,15798,TENZA
15,BOYAC,15293,GACHANTIV
15,BOYAC,15600,RQUIRA
15,BOYAC,15686,SANTANA
15,BOYAC,15109,BUENAVISTA
15,BOYAC,15516,PAIPA
15,BOYAC,15533,PAYA
15,BOYAC,15403,LA UVITA
15,BOYAC,15204,CMBITA
15,BOYAC,15723,SATIVASUR
15,BOYAC,15514,PEZ
15,BOYAC,15476,MOTAVITA
15,BOYAC,15218,COVARACHA
15,BOYAC,15667,SAN LUIS DE GACENO
15,BOYAC,15814,TOCA
15,BOYAC,15816,TOG
15,BOYAC,15822,TOTA
15,BOYAC,15106,BRICEO
15,BOYAC,15131,CALDAS
15,BOYAC,15494,NUEVO COLN
15,BOYAC,15832,TUNUNGU
15,BOYAC,15761,SOMONDOCO
15,BOYAC,15212,COPER
15,BOYAC,15317,GUACAMAYAS
15,BOYAC,15518,PAJARITO
15,BOYAC,15097,BOAVITA
15,BOYAC,15087,BELN
15,BOYAC,15238,DUITAMA
15,BOYAC,15322,GUATEQUE
15,BOYAC,15377,LABRANZAGRANDE
15,BOYAC,15580,QUPAMA
15,BOYAC,15837,TUTA
15,BOYAC,15755,SOCOT
15,BOYAC,15368,JERIC
15,BOYAC,15810,TIPACOQUE
15,BOYAC,15835,TURMEQU
15,BOYAC,15299,GARAGOA
15,BOYAC,15469,MONIQUIR
15,BOYAC,15180,CHISCAS
15,BOYAC,15162,CERINZA
15,BOYAC,15051,ARCABUCO
15,BOYAC,15762,SORA
15,BOYAC,15272,FIRAVITOBA
15,BOYAC,15092,BETITIVA
15,BOYAC,15425,MACANAL
15,BOYAC,15696,SANTA SOFA
15,BOYAC,15820,TPAGA
15,BOYAC,15664,SAN JOS DE PARE
15,BOYAC,15511,PACHAVITA
15,BOYAC,15215,CORRALES
15,BOYAC,15764,SORAC
15,BOYAC,15542,PESCA
15,BOYAC,15001,TUNJA
15,BOYAC,15507,OTANCHE
15,BOYAC,15401,LA VICTORIA
15,BOYAC,15842,MBITA
15,BOYAC,15776,SUTAMARCHN
15,BOYAC,15550,PISVA
17,CALDAS,17495,NORCASIA
17,CALDAS,17388,LA MERCED
17,CALDAS,17541,PENSILVANIA
17,CALDAS,17013,AGUADAS
17,CALDAS,17446,MARULANDA
17,CALDAS,17665,SAN JOS
17,CALDAS,17867,VICTORIA
17,CALDAS,17174,CHINCHIN
17,CALDAS,17380,LA DORADA
17,CALDAS,17662,SAMAN
17,CALDAS,17877,VITERBO
17,CALDAS,17042,ANSERMA
17,CALDAS,17614,RIOSUCIO
17,CALDAS,17088,BELALCZAR
17,CALDAS,17513,PCORA
17,CALDAS,17444,MARQUETALIA
17,CALDAS,17524,PALESTINA
17,CALDAS,17433,MANZANARES
17,CALDAS,17486,NEIRA
17,CALDAS,17001,MANIZALES
17,CALDAS,17442,MARMATO
17,CALDAS,17653,SALAMINA
17,CALDAS,17777,SUPA
17,CALDAS,17873,VILLAMARA
17,CALDAS,17272,FILADELFIA
17,CALDAS,17050,ARANZAZU
17,CALDAS,17616,RISARALDA
18,CAQUET,18205,CURILLO
18,CAQUET,18150,CARTAGENA DEL CHAIR
18,CAQUET,18479,MORELIA
18,CAQUET,18256,EL PAUJIL
18,CAQUET,18860,VALPARASO
18,CAQUET,18753,SAN VICENTE DEL CAGUN
18,CAQUET,18785,SOLITA
18,CAQUET,18094,BELN DE LOS ANDAQUES
18,CAQUET,18460,MILN
18,CAQUET,18247,EL DONCELLO
18,CAQUET,18756,SOLANO
18,CAQUET,18410,MONTAITA
18,CAQUET,18029,ALBANIA
18,CAQUET,18592,PUERTO RICO
18,CAQUET,18001,FLORENCIA
18,CAQUET,18610,SAN JOS DEL FRAGUA
19,CAUCA,19290,FLORENCIA
19,CAUCA,19050,ARGELIA
19,CAUCA,19807,TIMBO
19,CAUCA,19455,MIRANDA
19,CAUCA,19110,BUENOS AIRES
19,CAUCA,19318,GUAPI
19,CAUCA,19022,ALMAGUER
19,CAUCA,19585,PURAC (Coconuco)
19,CAUCA,19785,SUCRE
19,CAUCA,19701,SANTA ROSA
19,CAUCA,19355,INZ
19,CAUCA,19450,MERCADERES
19,CAUCA,19517,PEZ (Belalczar)
19,CAUCA,19397,LA VEGA
19,CAUCA,19809,TIMBIQU
19,CAUCA,19824,TOTOR
19,CAUCA,19513,PADILLA
19,CAUCA,19130,CAJIBO
19,CAUCA,19392,LA SIERRA
19,CAUCA,19698,SANTANDER DE QUILICHAO
19,CAUCA,19533,PIAMONTE
19,CAUCA,19532,PATA  (El Bordo)
19,CAUCA,19693,SAN SEBASTIN
19,CAUCA,19573,PUERTO TEJADA
19,CAUCA,19780,SUREZ
19,CAUCA,19364,JAMBAL
19,CAUCA,19100,BOLVAR
19,CAUCA,19137,CALDONO
19,CAUCA,19001,POPAYN
19,CAUCA,19845,VILLA RICA
19,CAUCA,19473,MORALES
19,CAUCA,19622,ROSAS
19,CAUCA,19075,BALBOA
19,CAUCA,19548,PIENDAM
19,CAUCA,19142,CALOTO
19,CAUCA,19743,SILVIA
19,CAUCA,19760,SOTAR (Paispamba)
19,CAUCA,19418,LPEZ
19,CAUCA,19256,EL TAMBO
19,CAUCA,19821,TORIBO
19,CAUCA,19212,CORINTO
19,CAUCA,19300,GUACHEN
20,CESAR,20175,CHIMICHAGUA
20,CESAR,20045,BECERRIL
20,CESAR,20013,AGUSTN CODAZZI
20,CESAR,20710,SAN ALBERTO
20,CESAR,20383,LA GLORIA
20,CESAR,20032,ASTREA
20,CESAR,20178,CHIRIGUAN
20,CESAR,20550,PELAYA
20,CESAR,20228,CURUMAN
20,CESAR,20011,AGUACHICA
20,CESAR,20295,GAMARRA
20,CESAR,20750,SAN DIEGO
20,CESAR,20238,EL COPEY
20,CESAR,20621,LA PAZ
20,CESAR,20443,MANAURE BALCN DEL CESAR
20,CESAR,20517,PAILITAS
20,CESAR,20250,EL PASO
20,CESAR,20787,TAMALAMEQUE
20,CESAR,20400,LA JAGUA DE IBIRICO
20,CESAR,20614,RO DE ORO
20,CESAR,20001,VALLEDUPAR
20,CESAR,20060,BOSCONIA
20,CESAR,20770,SAN MARTN
20,CESAR,20570,PUEBLO BELLO
20,CESAR,20310,GONZLEZ
23,CRDOBA,23417,LORICA
23,CRDOBA,23068,AYAPEL
23,CRDOBA,23168,CHIM
23,CRDOBA,23419,LOS CRDOBAS
23,CRDOBA,23189,CINAGA DE ORO
23,CRDOBA,23660,SAHAGN
23,CRDOBA,23686,SAN PELAYO
23,CRDOBA,23574,PUERTO ESCONDIDO
23,CRDOBA,23670,SAN ANDRS DE SOTAVENTO
23,CRDOBA,23300,COTORRA
23,CRDOBA,23464,MOMIL
23,CRDOBA,23586,PURSIMA
23,CRDOBA,23672,SAN ANTERO
23,CRDOBA,23162,CERET
23,CRDOBA,23079,BUENAVISTA
23,CRDOBA,23350,LA APARTADA
23,CRDOBA,23555,PLANETA RICA
23,CRDOBA,23182,CHIN
23,CRDOBA,23500,MOITOS
23,CRDOBA,23855,VALENCIA
23,CRDOBA,23090,CANALETE
23,CRDOBA,23001,MONTERA
23,CRDOBA,23815,TUCHN
23,CRDOBA,23580,PUERTO LIBERTADOR
23,CRDOBA,23570,PUEBLO NUEVO
23,CRDOBA,23675,SAN BERNARDO DEL VIENTO
23,CRDOBA,23678,SAN CARLOS
23,CRDOBA,23682,SAN JOS DE UR
23,CRDOBA,23466,MONTELBANO
23,CRDOBA,23807,TIERRALTA
25,CUNDINAMARCA,25293,GACHAL
25,CUNDINAMARCA,25299,GAMA
25,CUNDINAMARCA,25851,TICA
25,CUNDINAMARCA,25035,ANAPOIMA
25,CUNDINAMARCA,25779,SUSA
25,CUNDINAMARCA,25295,GACHANCIP
25,CUNDINAMARCA,25402,LA VEGA
25,CUNDINAMARCA,25148,CAPARRAP
25,CUNDINAMARCA,25328,GUAYABAL DE SQUIMA
25,CUNDINAMARCA,25368,JERUSALN
25,CUNDINAMARCA,25649,SAN BERNARDO
25,CUNDINAMARCA,25653,SAN CAYETANO
25,CUNDINAMARCA,25281,FOSCA
25,CUNDINAMARCA,25612,RICAURTE
25,CUNDINAMARCA,25245,EL COLEGIO
25,CUNDINAMARCA,25596,QUIPILE
25,CUNDINAMARCA,25320,GUADUAS
25,CUNDINAMARCA,25279,FMEQUE
25,CUNDINAMARCA,25339,GUTIRREZ
25,CUNDINAMARCA,25873,VILLAPINZN
25,CUNDINAMARCA,25053,ARBELEZ
25,CUNDINAMARCA,25086,BELTRN
25,CUNDINAMARCA,25483,NARIO
25,CUNDINAMARCA,25506,VENECIA
25,CUNDINAMARCA,25290,FUSAGASUG
25,CUNDINAMARCA,25799,TENJO
25,CUNDINAMARCA,25126,CAJIC
25,CUNDINAMARCA,25154,CARMEN DE CARUPA
25,CUNDINAMARCA,25599,APULO
25,CUNDINAMARCA,25040,ANOLAIMA
25,CUNDINAMARCA,25805,TIBACUY
25,CUNDINAMARCA,25489,NIMAIMA
25,CUNDINAMARCA,25200,COGUA
25,CUNDINAMARCA,25797,TENA
25,CUNDINAMARCA,25312,GRANADA
25,CUNDINAMARCA,25777,SUPAT
25,CUNDINAMARCA,25839,UBAL
25,CUNDINAMARCA,25862,VERGARA
25,CUNDINAMARCA,25398,LA PEA
25,CUNDINAMARCA,25899,ZIPAQUIR
25,CUNDINAMARCA,25324,GUATAQU
25,CUNDINAMARCA,25286,FUNZA
25,CUNDINAMARCA,25491,NOCAIMA
25,CUNDINAMARCA,25743,SILVANIA
25,CUNDINAMARCA,25769,SUBACHOQUE
25,CUNDINAMARCA,25898,ZIPACN
25,CUNDINAMARCA,25745,SIMIJACA
25,CUNDINAMARCA,25867,VIAN
25,CUNDINAMARCA,25260,EL ROSAL
25,CUNDINAMARCA,25843,UBAT
25,CUNDINAMARCA,25297,GACHET
25,CUNDINAMARCA,25377,LA CALERA
25,CUNDINAMARCA,25407,LENGUAZAQUE
25,CUNDINAMARCA,25535,PASCA
25,CUNDINAMARCA,25785,TABIO
25,CUNDINAMARCA,25807,TIBIRITA
25,CUNDINAMARCA,25288,FQUENE
25,CUNDINAMARCA,25662,SAN JUAN DE RIOSECO
25,CUNDINAMARCA,25841,UBAQUE
25,CUNDINAMARCA,25326,GUATAVITA
25,CUNDINAMARCA,25322,GUASCA
25,CUNDINAMARCA,25845,UNE
25,CUNDINAMARCA,25594,QUETAME
25,CUNDINAMARCA,25823,TOPAIP
25,CUNDINAMARCA,25151,CQUEZA
25,CUNDINAMARCA,25178,CHIPAQUE
25,CUNDINAMARCA,25718,SASAIMA
25,CUNDINAMARCA,25181,CHOACH
25,CUNDINAMARCA,25317,GUACHET
25,CUNDINAMARCA,25572,PUERTO SALGAR
25,CUNDINAMARCA,25871,VILLAGMEZ
25,CUNDINAMARCA,25815,TOCAIMA
25,CUNDINAMARCA,25580,PUL
25,CUNDINAMARCA,25095,BITUIMA
25,CUNDINAMARCA,25430,MADRID
25,CUNDINAMARCA,25269,FACATATIV
25,CUNDINAMARCA,25335,GUAYABETAL
25,CUNDINAMARCA,25878,VIOT
25,CUNDINAMARCA,25781,SUTATAUSA
25,CUNDINAMARCA,25307,GIRARDOT
25,CUNDINAMARCA,25394,LA PALMA
25,CUNDINAMARCA,25386,LA MESA
25,CUNDINAMARCA,25758,SOP
25,CUNDINAMARCA,25473,MOSQUERA
25,CUNDINAMARCA,25524,PANDI
25,CUNDINAMARCA,25736,SESQUIL
25,CUNDINAMARCA,25592,QUEBRADANEGRA
25,CUNDINAMARCA,25488,NILO
25,CUNDINAMARCA,25001,AGUA DE DIOS
25,CUNDINAMARCA,25518,PAIME
25,CUNDINAMARCA,25740,SIBAT
25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA
25,CUNDINAMARCA,25168,CHAGUAN
25,CUNDINAMARCA,25658,SAN FRANCISCO
25,CUNDINAMARCA,25426,MACHET
25,CUNDINAMARCA,25123,CACHIPAY
25,CUNDINAMARCA,25885,YACOP
25,CUNDINAMARCA,25214,COTA
25,CUNDINAMARCA,25513,PACHO
25,CUNDINAMARCA,25438,MEDINA
25,CUNDINAMARCA,25019,ALBN
25,CUNDINAMARCA,25875,VILLETA
25,CUNDINAMARCA,25372,JUNN
25,CUNDINAMARCA,25754,SOACHA
25,CUNDINAMARCA,25817,TOCANCIP
25,CUNDINAMARCA,25772,SUESCA
25,CUNDINAMARCA,25530,PARATEBUENO
25,CUNDINAMARCA,25099,BOJAC
25,CUNDINAMARCA,25258,EL PEN
25,CUNDINAMARCA,25436,MANTA
25,CUNDINAMARCA,25224,CUCUNUB
25,CUNDINAMARCA,25183,CHOCONT
25,CUNDINAMARCA,25486,NEMOCN
25,CUNDINAMARCA,25793,TAUSA
25,CUNDINAMARCA,25120,CABRERA
25,CUNDINAMARCA,25175,CHA
27,CHOC,27075,BAHA SOLANO (Mutis)
27,CHOC,27160,CERTEGUI
27,CHOC,27495,NUQU
27,CHOC,27810,UNIN PANAMERICANA (nimas)
27,CHOC,27077,BAJO BAUD  (Pizarro)
27,CHOC,27787,TAD
27,CHOC,27050,ATRATO (Yuto)
27,CHOC,27073,BAGAD
27,CHOC,27250,EL LITORAL DEL SAN JUAN
27,CHOC,27660,SAN JOS DEL PALMAR
27,CHOC,27425,MEDIO ATRATO (Bet)
27,CHOC,27001,QUIBD
27,CHOC,27745,SIP
27,CHOC,27245,EL CARMEN
27,CHOC,27450,MEDIO SAN JUAN (Andagoya)
27,CHOC,27413,LLOR
27,CHOC,27615,RIOSUCIO
27,CHOC,27025,ALTO BAUD (Pie de Pat)
27,CHOC,27135,EL CANTN DEL SAN PABLO
27,CHOC,27361,ISTMINA
27,CHOC,27600,RO QUITO (Paimad)
27,CHOC,27491,NVITA
27,CHOC,27205,CONDOTO
27,CHOC,27372,JURAD
27,CHOC,27430,MEDIO BAUD (Boca de Pep)
27,CHOC,27580,RO IR (Santa Rita)
27,CHOC,27006,ACAND
27,CHOC,27099,BOJAY (Bellavista)
27,CHOC,27150,CARMEN DEL DARIN  (Curbarad)
27,CHOC,27800,UNGUA
41,HUILA,41078,BARAYA
41,HUILA,41872,VILLAVIEJA
41,HUILA,41013,AGRADO
41,HUILA,41001,NEIVA
41,HUILA,41244,ELAS
41,HUILA,41306,GIGANTE
41,HUILA,41551,PITALITO
41,HUILA,41676,SANTA MARA
41,HUILA,41359,ISNOS
41,HUILA,41770,SUAZA
41,HUILA,41483,NTAGA
41,HUILA,41797,TESALIA
41,HUILA,41396,LA PLATA
41,HUILA,41349,HOBO
41,HUILA,41807,TIMAN
41,HUILA,41016,AIPE
41,HUILA,41615,RIVERA
41,HUILA,41132,CAMPOALEGRE
41,HUILA,41319,GUADALUPE
41,HUILA,41006,ACEVEDO
41,HUILA,41378,LA ARGENTINA
41,HUILA,41799,TELLO
41,HUILA,41660,SALADOBLANCO
41,HUILA,41503,OPORAPA
41,HUILA,41524,PALERMO
41,HUILA,41885,YAGUAR
41,HUILA,41357,QUIRA
41,HUILA,41298,GARZN
41,HUILA,41548,PITAL
41,HUILA,41020,ALGECIRAS
41,HUILA,41668,SAN AGUSTN
41,HUILA,41801,TERUEL
41,HUILA,41530,PALESTINA
41,HUILA,41026,ALTAMIRA
41,HUILA,41791,TARQUI
41,HUILA,41518,PAICOL
41,HUILA,41206,COLOMBIA
44,LA GUAJIRA,44001,RIOHACHA
44,LA GUAJIRA,44098,DISTRACCIN
44,LA GUAJIRA,44855,URUMITA
44,LA GUAJIRA,44650,SAN JUAN DEL CESAR
44,LA GUAJIRA,44560,MANAURE
44,LA GUAJIRA,44430,MAICAO
44,LA GUAJIRA,44378,HATO NUEVO
44,LA GUAJIRA,44090,DIBULLA
44,LA GUAJIRA,44420,LA JAGUA DEL PILAR
44,LA GUAJIRA,44874,VILLANUEVA
44,LA GUAJIRA,44110,EL MOLINO
44,LA GUAJIRA,44847,URIBIA
44,LA GUAJIRA,44035,ALBANIA
44,LA GUAJIRA,44078,BARRANCAS
44,LA GUAJIRA,44279,FONSECA
47,MAGDALENA,47545,PIJIO  DEL CARMEN
47,MAGDALENA,47551,PIVIJAY
47,MAGDALENA,47707,SANTA ANA
47,MAGDALENA,47555,PLATO
47,MAGDALENA,47053,ARACATACA
47,MAGDALENA,47692,SAN SEBASTIN DE BUENAVISTA
47,MAGDALENA,47318,GUAMAL
47,MAGDALENA,47675,SALAMINA
47,MAGDALENA,47570,PUEBLOVIEJO
47,MAGDALENA,47660,SABANAS DE SAN NGEL (San ngel)
47,MAGDALENA,47268,EL RETN
47,MAGDALENA,47460,NUEVA GRANADA (Granada)
47,MAGDALENA,47245,EL BANCO
47,MAGDALENA,47189,CINAGA
